================================================================================
크몽 55상품 가격 vs 1페이지 실 경쟁자 시장가 비교 보고서
생성: 2026-04-15T02:51:09.399Z | 작성: Claude Code
================================================================================

## 0. 자료 출처
- 우리 가격: /home/onda/projects/onda-hompage/kmong-crawler/new-gigs/gig-data-55.js
- 시장 실측: scrape-competitor-prices.js 스크립트로 카테고리 1페이지 상위 상품 직접 수집
- 시장가 정의: 각 카드의 "시작가" (예: "1,320,000원~" → 1,320,000 = STD 가격)
- 따라서 우리 STD ↔ 시장 시작가 직접 비교 가능

## 1. 카테고리별 시장 통계 (1페이지 실측, 각 36~40개 상품)

| 카테고리 | 우리상품수 | 시장N | 평균 | 중앙 | 최저 | 최고 | P25 | P75 |
|---|---|---|---|---|---|---|---|---|
| 홈페이지 신규 제작 | 8 | 39 | 56만 | 30만 | 5000 | 360만 | 20만 | 66만 |
| 업무 자동화 | 22 | 36 | 13만 | 7만 | 5000 | 69만 | 5만 | 22만 |
| 맞춤형 챗봇·GPT | 10 | 36 | 34만 | 12만 | 1만 | 200만 | 10만 | 50만 |
| 상세페이지·이미지편집 | 11 | 36 | 10만 | 3만 | 5000 | 66만 | 1만 | 15만 |
| 로고 디자인 | 2 | 36 | 6만 | 5만 | 1만 | 30만 | 3만 | 7만 |
| 명함 | 1 | 36 | 2만 | 2만 | 5000 | 10만 | 2만 | 3만 |
| 메뉴판 | 1 | 36 | 3만 | 3만 | 1만 | 8만 | 2만 | 4만 |

참조 카테고리 (우리 미진입):
  - [617] IT 봇·챗봇 (참조): 평균 6만 / 중앙 2만 / 범위 5000~50만
  - [645] IT 크롤링·스크래핑: 평균 16만 / 중앙 5만 / 범위 5000~330만

## 2. 우리 가격 책정 근거 (1/6~6/6 보고서 통합)

### 가격 책정 원칙 (시장조사+메모리 기반)
1. STD = 시장 평균의 70~80% (진입 미끼)
2. DLX = 시장 평균 1.0배 (메인 매출)
3. PRM = 평균 2~3배 (B2B/풀스택, 단가 폭발)
4. 표준 비율 1:2.3:4~5 (자동화/챗봇 권장 비율)
5. "홈페이지 없는 사업자" 실측 PMF 니치 → 저가 진입 강화

### 책정 근거 (카테고리별)
- IT 자동화 (663): 메모리 macro 자료 — 평균 20만, 5천~330만, 권장 비율 1:2.3:4~5
- IT 챗봇 (667): 메모리 aibot 자료 — 5.5만~165만, 저가 5.9/9.9/14.9 → 중가 29/49/79 → 프리미엄 99/149/199
- IT 홈페이지 (601): 시장조사 자료 없음, 일반 통념 사용 (당시)
- 디자인 113/101/107/134: 시장조사 자료 없음, 일반 통념 사용 (당시)

## 3. 카테고리별 우리 가격 vs 실측 시장가 (핵심 비교)

### [601] 홈페이지 신규 제작 (우리 8건)
  시장 시작가 평균: 56만 | 중앙: 30만 | P25~P75: 20만~66만
  우리 STD 평균: 24만  (vs 시장평균 -57% | vs 중앙 -19%)
  우리 DLX 평균: 45만
  우리 PRM 평균: 69만  (시장 최고 360만)

### [663] 업무 자동화 (우리 22건)
  시장 시작가 평균: 13만 | 중앙: 7만 | P25~P75: 5만~22만
  우리 STD 평균: 20만  (vs 시장평균 +51% | vs 중앙 +189%)
  우리 DLX 평균: 34만
  우리 PRM 평균: 48만  (시장 최고 69만)

### [667] 맞춤형 챗봇·GPT (우리 10건)
  시장 시작가 평균: 34만 | 중앙: 12만 | P25~P75: 10만~50만
  우리 STD 평균: 23만  (vs 시장평균 -32% | vs 중앙 +94%)
  우리 DLX 평균: 43만
  우리 PRM 평균: 64만  (시장 최고 200만)

### [113] 상세페이지·이미지편집 (우리 11건)
  시장 시작가 평균: 10만 | 중앙: 3만 | P25~P75: 1만~15만
  우리 STD 평균: 7만  (vs 시장평균 -22% | vs 중앙 +126%)
  우리 DLX 평균: 15만
  우리 PRM 평균: 24만  (시장 최고 66만)

### [101] 로고 디자인 (우리 2건)
  시장 시작가 평균: 6만 | 중앙: 5만 | P25~P75: 3만~7만
  우리 STD 평균: 20만  (vs 시장평균 +232% | vs 중앙 +300%)
  우리 DLX 평균: 35만
  우리 PRM 평균: 55만  (시장 최고 30만)

### [107] 명함 (우리 1건)
  시장 시작가 평균: 2만 | 중앙: 2만 | P25~P75: 2만~3만
  우리 STD 평균: 5만  (vs 시장평균 +105% | vs 중앙 +150%)
  우리 DLX 평균: 12만
  우리 PRM 평균: 20만  (시장 최고 10만)

### [134] 메뉴판 (우리 1건)
  시장 시작가 평균: 3만 | 중앙: 3만 | P25~P75: 2만~4만
  우리 STD 평균: 8만  (vs 시장평균 +159% | vs 중앙 +167%)
  우리 DLX 평균: 15만
  우리 PRM 평균: 25만  (시장 최고 8만)


## 4. 상품별 매핑 (55건 전수)

| ID | 제목(20자) | STD/DLX/PRM | 시장평균 | 시장중앙 | STD vs 평균 | STD vs 중앙 | 포지션 |
| 38 | FAQ 학습 AI 고객상담 챗봇  | 50만/95만/150만 | 34만 | 12만 |    +46% |   +317% | 프리미엄존 |
| 39 | AI 로고 브랜드 가이드 제작   | 10만/20만/30만 | 6만 | 5만 |    +66% |   +100% | 프리미엄존 |
| 40 | AI 유튜브 자막 다국어 번역   | 10만/18만/25만 | 13만 | 7만 |    -25% |    +43% | 중상 |
| 41 | AI 이력서 자소서 첨삭 예상질문 | 3만/7만/10만 | 34만 | 12만 |    -91% |    -75% | 저가존 |
| 42 | AI 재고 수요예측 대시보드    | 50만/80만/120만 | 13만 | 7만 |   +274% |   +614% | 프리미엄존 |
| 43 | 구매전환 2배 상세페이지 제작   | 10만/22만/35만 | 10만 | 3만 |     +5% |   +203% | 중상 |
| 44 | 인스타 저장 유발 카드뉴스     | 3만/7만/12만 | 10만 | 3만 |    -68% |     -9% | 중하 |
| 45 | 클릭률 2배 유튜브 썸네일     | 1만/3만/5만 | 10만 | 3만 |    -89% |    -70% | 저가존 |
| 46 | 전환율 높은 광고배너 세트     | 5만/10만/15만 | 10만 | 3만 |    -47% |    +52% | 중상 |
| 47 | 소상공인 명함 전단지 리플렛 세트 | 5만/12만/20만 | 2만 | 2만 |   +105% |   +150% | 프리미엄존 |
| 48 | 자영업자 업종맞춤 메뉴판 제작   | 8만/15만/25만 | 3만 | 3만 |   +159% |   +167% | 프리미엄존 |
| 49 | 오픈율2배 뉴스레터 HTML제작  | 15만/28만/40만 | 10만 | 3만 |    +58% |   +355% | 중상 |
| 50 | 인스타 첫인상 SNS 디자인세트  | 10만/18만/30만 | 10만 | 3만 |     +5% |   +203% | 중상 |
| 51 | 스타트업 투자유치 IR PPT   | 15만/30만/50만 | 10만 | 3만 |    +58% |   +355% | 중상 |
| 52 | 매장 쿠폰 이벤트 배너 디자인   | 5만/9만/15만 | 10만 | 3만 |    -47% |    +52% | 중상 |
| 54 | 대행사 AI 대량배너 썸네일 50 | 10만/20만/30만 | 10만 | 3만 |     +5% |   +203% | 중상 |
| 53 | 신규 브랜드 가이드라인 로고 변형 | 30만/50만/80만 | 6만 | 5만 |   +399% |   +500% | 프리미엄존 |
| 55 | 오프라인 매장 간판 현수막 디자인 | 5만/12만/20만 | 10만 | 3만 |    -47% |    +52% | 중상 |

## 5. 핵심 인사이트 (실측 기반 보정 권장)

- ✓ 홈페이지 신규 제작: 우리 STD 24만 이 시장평균 56만 대비 -57% 보수적 → DLX/PRM 상향 여지
- ⚠️  업무 자동화: 우리 STD 평균 20만 이 시장평균 13만 대비 +51% 비쌈 → 진입 STD 인하 검토
- ✓ 맞춤형 챗봇·GPT: 우리 STD 23만 이 시장평균 34만 대비 -32% 보수적 → DLX/PRM 상향 여지
- = 상세페이지·이미지편집: 우리 STD 7만 ≈ 시장평균 10만 (-22%)
- ⚠️  로고 디자인: 우리 STD 평균 20만 이 시장평균 6만 대비 +232% 비쌈 → 진입 STD 인하 검토
- ⚠️  명함: 우리 STD 평균 5만 이 시장평균 2만 대비 +105% 비쌈 → 진입 STD 인하 검토
- ⚠️  메뉴판: 우리 STD 평균 8만 이 시장평균 3만 대비 +159% 비쌈 → 진입 STD 인하 검토

## 6. 시장 1페이지 상위 상품 샘플 (참고용 — 각 카테고리 상위 5건)

### [601] 홈페이지 신규 제작
  - 132만 | ★4.9(114) | 크몽어워즈 최우수상 홈페이지제작 주식회사 드림위드컴퍼니
  -  30만 | ★4.8(9) | 홈페이지를 제작 해 드립니다.
  -  95만 | 신규 | 기업 맞춤형 홈페이지 제작해드립니다 (반응형/SEO)
  - 129만 | ★5(7) | 비즈니스를 성장시키는 웹사이트 저희가 만들어 드립니다
  -  33만 | 신규 | 깔끔하고 빠른 홈페이지 맞춤 제작

### [663] 업무 자동화
  -  35만 | ★5(3) | 풀스택 개발팀의 n8n/make/고객관리 AI 자동화
  -  11만 | ★4.9(34) | 자동화 업무자동화 자동화프로그램 매크로 만들어드립니다
  -  69만 | ★4.9(129) | 반복 업무 자동화 프로그램 제작 / 개인·사업자법인
  -  40만 | ★5(17) | RPA OCR AI 업무 자동화 프로그램 개발
  -   1만 | 신규 | 반복업무 자동화 프로그램 제작해 드립니다.

### [667] 맞춤형 챗봇·GPT
  -  10만 | 신규 | 맞춤형 AI 챗봇 / 자체구축 or 상용 AI API
  -  20만 | ★5(6) | 지식기반 모듈형 AI챗봇 RAG챗봇 솔루션
  -  50만 | ★5(2) | LLM (AI 챗봇/Agent/ Harness)
  -  22만 | ★5(2) | AI 챗봇 / 카카오톡 챗봇 / ChatGPT
  -   6만 | ★5(4) | 데이터 기반 AI 챗봇 맞춤 커스텀 제작 전문

### [113] 상세페이지·이미지편집
  -   2만 | ★4.9(243) | 고퀄리티 상세페이지 촬영/기획/디자인 모두 가능
  -   1만 | ★4.9(224) | 촬영/기획 디자인 올인원 상세페이지를 제작해드립니다.
  -  20만 | ★5(38) | 느낌 좋은 상세페이지 디자인을 잘합니다
  -  15만 | 신규 | 식품 상세페이지제작 농산물 과일 상세페이지 디자인 기획
  -  25만 | 신규 | K-커머스 / 아마존 올인원 상세페이지

### [101] 로고 디자인
  -  13만 | ★4.9(3468) | 13년연속만족1위 프리미엄 로고 디자인 CI BI 제작
  -  11만 | ★4.9(2313) | 브랜드평판1위ㅣ실패없는 로고제작 로고디자인 CI BI
  -   8만 | ★4.9(112) | 로고디자인 10년 경력 +독보적인+ 로고제작
  -   6만 | ★4.9(2128) | 크몽어워즈 수상ㅣ로고ㅣ명함ㅣ네이밍ㅣ슬로건ㅣ스티커인쇄
  -   9만 | ★4.9(5430) | 로고 - 대기업협력사 / 크몽어워즈 수상 대표 고퀄제작

### [107] 명함
  -   3만 | ★4.9(136) | 보는순간 기억되는 명함
  -   5만 | ★4.9(130) | 크몽어워즈 수상.명함.명함출력.명함제작.로고.로고디자인
  -   5만 | ★5(1) | 명함/명함디자인/명함인쇄/명함제작/로고/로고디자인/BI
  -   2만 | ★4.8(129) | 제주에드 명함. 쿠폰 디자인, 제작 인쇄 배송비포함
  -   1만 | ★4.9(389) | 심플하고 세련된 명함, 어썸B가 만들어 드립니다.

### [134] 메뉴판
  -   3만 | ★4.9(23) | 가게 분위기 살리는 감성 메뉴판 디자인 제작해드립니다
  -   3만 | ★5(18) | 매출 오르는 감성 메뉴판 디자인 제작 도와드립니다
  -   3만 | ★5(21) | 가독성 좋은 메뉴판 디자인 제작해드립니다
  -   3만 | ★4.9(31) | 브랜드 무드에 맞춘 메뉴판 디자인 제작해드립니다
  -   2만 | ★4.9(556) | 깔끔하고 트렌디한 메뉴판 제작해드립니다.


## 7. 결론 및 사용자 의사결정 자료

### 데이터 한계
- 각 카테고리 1페이지 36-40건 = 베스트셀러 위주 (중하위 가격대 미반영 가능)
- 시작가 = STD 가격이지만 PRM 까지의 범위는 별도 페이지 진입해야 정확
- 1회성 스냅샷 (시간 변동 미반영)

### 다음 가능 액션 (수정은 사용자 결정)
- 옵션 A: 보고서만 참조하고 가격 유지 (운영 1-2개월 후 데이터 보고 재조정)
- 옵션 B: 위 ⚠️ 표시 카테고리 STD 인하 (예: 자동화 22건 STD -20~30%)
- 옵션 C: ✓ 표시 카테고리 PRM 상향 (홈페이지 PRM +20%)
- 옵션 D: 미끼 상품 추가 신규 등록 (각 카테고리 1만~3만 양산형 1-2개)

--- 보고서 끝 ---
